[Wed Jul 25 11:55:19.118164 2018] [:error] [pid 1092:tid 1808] [client 127.0.0.1:49821] PHP Parse error:  syntax error, unexpected 'endforeach' (T_ENDFOREACH) in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 80, referer: http://shailinfotech.prime.com/Pages/frontdownload/id:page2
[Wed Jul 25 11:55:24.337890 2018] [:error] [pid 1092:tid 1828] [client 127.0.0.1:49827] PHP Parse error:  syntax error, unexpected 'endforeach' (T_ENDFOREACH) in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 80, referer: http://shailinfotech.prime.com/Pages/frontourservices/id:page3
[Wed Jul 25 11:55:25.459960 2018] [:error] [pid 1092:tid 1828] [client 127.0.0.1:49829] PHP Parse error:  syntax error, unexpected 'endforeach' (T_ENDFOREACH) in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 80, referer: http://shailinfotech.prime.com/Pages/frontdownload/id:page2
[Wed Jul 25 12:00:52.483398 2018] [:error] [pid 1092:tid 1828] [client 127.0.0.1:49832] PHP Parse error:  syntax error, unexpected 'endforeach' (T_ENDFOREACH) in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 61, referer: http://shailinfotech.prime.com/Pages/frontourservices/id:page3
[Wed Jul 25 12:00:53.043945 2018] [:error] [pid 1092:tid 1812] [client 127.0.0.1:49833] PHP Parse error:  syntax error, unexpected 'endforeach' (T_ENDFOREACH) in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 61, referer: http://shailinfotech.prime.com/Pages/frontourservices/id:page3
[Wed Jul 25 12:00:53.445312 2018] [:error] [pid 1092:tid 1816] [client 127.0.0.1:49835] PHP Parse error:  syntax error, unexpected 'endforeach' (T_ENDFOREACH) in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 61, referer: http://shailinfotech.prime.com/Pages/frontourservices/id:page3
[Wed Jul 25 12:00:53.851562 2018] [:error] [pid 1092:tid 1824] [client 127.0.0.1:49836] PHP Parse error:  syntax error, unexpected 'endforeach' (T_ENDFOREACH) in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 61, referer: http://shailinfotech.prime.com/Pages/frontourservices/id:page3
[Wed Jul 25 12:00:54.262695 2018] [:error] [pid 1092:tid 1820] [client 127.0.0.1:49837] PHP Parse error:  syntax error, unexpected 'endforeach' (T_ENDFOREACH) in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 61, referer: http://shailinfotech.prime.com/Pages/frontourservices/id:page3
[Wed Jul 25 12:00:56.753906 2018] [:error] [pid 1092:tid 1824] [client 127.0.0.1:49845] PHP Parse error:  syntax error, unexpected 'endforeach' (T_ENDFOREACH) in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 61, referer: http://shailinfotech.prime.com/Pages/frontdownload/id:page2
[Wed Jul 25 12:12:15.471679 2018] [:error] [pid 1092:tid 1808] [client 127.0.0.1:49902] PHP Parse error:  syntax error, unexpected '?>\r' in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 57, referer: http://shailinfotech.prime.com/Pages/frontourservices/id:page3
[Wed Jul 25 12:12:15.930664 2018] [:error] [pid 1092:tid 1816] [client 127.0.0.1:49903] PHP Parse error:  syntax error, unexpected '?>\r' in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 57, referer: http://shailinfotech.prime.com/Pages/frontourservices/id:page3
[Wed Jul 25 12:12:16.395507 2018] [:error] [pid 1092:tid 1820] [client 127.0.0.1:49904] PHP Parse error:  syntax error, unexpected '?>\r' in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 57, referer: http://shailinfotech.prime.com/Pages/frontourservices/id:page3
[Wed Jul 25 12:12:19.267578 2018] [:error] [pid 1092:tid 1828] [client 127.0.0.1:49912] PHP Parse error:  syntax error, unexpected '?>\r' in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 57, referer: http://shailinfotech.prime.com/Pages/frontdownload/id:page2
[Wed Jul 25 12:12:30.371093 2018] [:error] [pid 1092:tid 1816] [client 127.0.0.1:49916] PHP Parse error:  syntax error, unexpected '?>\r' in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 57, referer: http://shailinfotech.prime.com/Pages/frontourservices/id:page3
[Wed Jul 25 12:12:30.803710 2018] [:error] [pid 1092:tid 1820] [client 127.0.0.1:49917] PHP Parse error:  syntax error, unexpected '?>\r' in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 57, referer: http://shailinfotech.prime.com/Pages/frontourservices/id:page3
[Wed Jul 25 12:12:31.201171 2018] [:error] [pid 1092:tid 1824] [client 127.0.0.1:49919] PHP Parse error:  syntax error, unexpected '?>\r' in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 57, referer: http://shailinfotech.prime.com/Pages/frontourservices/id:page3
[Wed Jul 25 12:12:33.636718 2018] [:error] [pid 1092:tid 1820] [client 127.0.0.1:49923] PHP Parse error:  syntax error, unexpected '?>\r' in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 57, referer: http://shailinfotech.prime.com/Pages/frontdownload/id:page2
[Wed Jul 25 12:47:43.727539 2018] [:error] [pid 1092:tid 1828] [client 127.0.0.1:50336] PHP Parse error:  syntax error, unexpected '}' in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Layouts\\default.ctp on line 38, referer: http://shailinfotech.prime.com/Pages/frontourservices/id:page3
[Wed Jul 25 12:47:43.811523 2018] [:error] [pid 1092:tid 1828] [client 127.0.0.1:50336] PHP Parse error:  syntax error, unexpected '}' in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Layouts\\default.ctp on line 38, referer: http://shailinfotech.prime.com/Pages/frontourservices/id:page3
[Wed Jul 25 12:47:44.009765 2018] [:error] [pid 1092:tid 1820] [client 127.0.0.1:50337] PHP Parse error:  syntax error, unexpected '}' in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Layouts\\default.ctp on line 38, referer: http://shailinfotech.prime.com/Pages/frontourservices/id:page3
